,loss,f1_score,precision,recall,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/loss_fn,config/lr,config/momentum,config/optim_type,config/weight decay,config/num_layers,config/hidden_size,config/num_fc_layers,config/activation_type,logdir
0,0.5504358410835266,0.33717169282400433,0.2534033450019448,0.5036722071897951,1709260700,,False,100,81c81_00000,2024-02-29_18-38-20,18.074387311935425,1827.0560081005096,9116,bling-bling,192.168.0.125,1827.0560081005096,100,CrossEntropy,0.001,0.07553348365062514,1,1e-05,2,16,1,2,81c81_00000
1,0.057970158755779266,0.2575193227487402,0.2430114903104099,0.27386934673366836,1709260698,,False,100,81c81_00001,2024-02-29_18-38-18,18.40662932395935,1825.5036191940308,9117,bling-bling,192.168.0.125,1825.5036191940308,100,CrossEntropy,0.001,0.19019214697557332,1,1e-05,2,64,1,2,81c81_00001
2,0.34914228320121765,0.30651002011977285,0.24811580332575667,0.4008504058755315,1709260700,,False,100,81c81_00002,2024-02-29_18-38-20,18.093387842178345,1827.4941816329956,9118,bling-bling,192.168.0.125,1827.4941816329956,100,CrossEntropy,0.001,0.14666679442046962,1,1e-05,2,32,1,2,81c81_00002
3,0.0305931493639946,0.24682396159759948,0.24400377714825308,0.2497100889060688,1709260697,,False,100,81c81_00003,2024-02-29_18-38-17,18.29434823989868,1824.0185570716858,9119,bling-bling,192.168.0.125,1824.0185570716858,100,CrossEntropy,0.001,0.12013303835521029,1,1e-05,2,128,1,2,81c81_00003
4,0.044413454830646515,0.3399329823030801,0.24819855884707767,0.5392346347120216,1709260755,,False,100,81c81_00004,2024-02-29_18-39-15,18.55014204978943,1881.7104921340942,9120,bling-bling,192.168.0.125,1881.7104921340942,100,Focal,0.001,0.032047709448044866,1,1e-05,2,16,1,2,81c81_00004
5,0.006684144493192434,0.27769546744540535,0.2528972852833783,0.3078855817549285,1709260747,,False,100,81c81_00005,2024-02-29_18-39-07,18.62112069129944,1874.1247341632843,9121,bling-bling,192.168.0.125,1874.1247341632843,100,Focal,0.001,0.03204290954690433,1,1e-05,2,64,1,2,81c81_00005
6,0.030017245560884476,0.2962216652403328,0.23598211214310286,0.39775802087359874,1709260748,,False,100,81c81_00006,2024-02-29_18-39-08,18.849628686904907,1875.20343542099,9122,bling-bling,192.168.0.125,1875.20343542099,100,Focal,0.001,0.012558638821471693,1,1e-05,2,32,1,2,81c81_00006
7,0.0023785745725035667,0.25002285589605283,0.23712948517940718,0.2643989176652493,1709260750,,False,100,81c81_00007,2024-02-29_18-39-10,18.753562688827515,1877.6019079685211,9125,bling-bling,192.168.0.125,1877.6019079685211,100,Focal,0.001,0.1733690530092121,1,1e-05,2,128,1,2,81c81_00007
8,0.6083585023880005,0.34932482486291533,0.2691623967374255,0.49748743718592964,1709262536,,False,100,81c81_00008,2024-02-29_19-08-56,18.408174753189087,1838.9375689029694,9119,bling-bling,192.168.0.125,1838.9375689029694,100,CrossEntropy,0.01,0.12062188733689856,1,1e-05,2,16,1,2,81c81_00008
9,0.5714003443717957,0.35899659618371954,0.24941654746668673,0.6403169694626981,1709262534,,False,100,81c81_00009,2024-02-29_19-08-54,18.265292644500732,1835.1546189785004,9117,bling-bling,192.168.0.125,1835.1546189785004,100,CrossEntropy,0.01,0.14190644298141306,1,1e-05,2,64,1,2,81c81_00009
10,0.5869973301887512,0.34892823804271467,0.2571193114183683,0.542713567839196,1709262540,,False,100,81c81_00010,2024-02-29_19-09-00,18.19990849494934,1839.5588397979736,9116,bling-bling,192.168.0.125,1839.5588397979736,100,CrossEntropy,0.01,0.005096314364864687,1,1e-05,2,32,1,2,81c81_00010
11,0.5439249873161316,0.3441376109458981,0.26658880985242595,0.48531117124081946,1709262532,,False,100,81c81_00011,2024-02-29_19-08-52,18.27728247642517,1830.7821888923645,9118,bling-bling,192.168.0.125,1830.7821888923645,100,CrossEntropy,0.01,0.19401206058023687,1,1e-05,2,128,1,2,81c81_00011
12,0.04869269207119942,0.36063954002887727,0.26494331065759635,0.5645535369153459,1709262632,,False,100,81c81_00012,2024-02-29_19-10-32,19.101856470108032,1884.9941141605377,9121,bling-bling,192.168.0.125,1884.9941141605377,100,Focal,0.01,0.16665608551928393,1,1e-05,2,16,1,2,81c81_00012
13,0.045218225568532944,0.33679523914593223,0.2586492645535529,0.48260533436412834,1709262630,,False,100,81c81_00013,2024-02-29_19-10-30,19.487698316574097,1881.9110090732574,9122,bling-bling,192.168.0.125,1881.9110090732574,100,Focal,0.01,0.043255483024976955,1,1e-05,2,64,1,2,81c81_00013
14,0.04772594943642616,0.3390966472626854,0.25954041854739435,0.4889833784306146,1709262638,,False,100,81c81_00014,2024-02-29_19-10-38,18.67417597770691,1886.9303300380707,9125,bling-bling,192.168.0.125,1886.9303300380707,100,Focal,0.01,0.037183168474213026,1,1e-05,2,32,1,2,81c81_00014
15,0.04190763086080551,0.34199975558938484,0.24937987243090007,0.5440664862775415,1709262641,,False,100,81c81_00015,2024-02-29_19-10-41,18.861615657806396,1885.738354921341,9120,bling-bling,192.168.0.125,1885.738354921341,100,Focal,0.01,0.037497497460833334,1,1e-05,2,128,1,2,81c81_00015
16,0.6818007826805115,0.26176937535521705,0.3179558011049724,0.22245844607653653,1709264388,,False,100,81c81_00016,2024-02-29_19-39-48,18.386361598968506,1855.9607903957367,9118,bling-bling,192.168.0.125,1855.9607903957367,100,CrossEntropy,0.1,0.06154420634894801,1,1e-05,2,16,1,2,81c81_00016
