,symbol,sector
268,EIX,Utilities
269,CBRE,Real Estate
270,APTV,Consumer Cyclical
271,ANSS,Technology
272,MTD,Healthcare
273,DLTR,Consumer Defensive
274,AVB,Real Estate
275,ILMN,Healthcare
276,ALGN,Healthcare
277,LYB,Basic Materials
278,TROW,Financial Services
279,GLW,Technology
280,EFX,Industrials
281,WY,Real Estate
282,ZBH,Healthcare
283,XYL,Industrials
284,SBAC,Real Estate
285,RMD,Healthcare
286,TSCO,Consumer Cyclical
287,EBAY,Consumer Cyclical
288,KEYS,Technology
289,CHD,Consumer Defensive
290,STT,Financial Services
291,DFS,Financial Services
292,HIG,Financial Services
293,ALB,Basic Materials
294,STE,Healthcare
295,ES,Utilities
296,TTWO,Communication Services
297,MPWR,Technology
298,CAH,Healthcare
299,EQR,Real Estate
300,RCL,Consumer Cyclical
301,WTW,Financial Services
302,HPE,Technology
303,DTE,Utilities
304,GPC,Consumer Cyclical
305,BR,Technology
306,ULTA,Consumer Cyclical
307,FICO,Technology
308,CTRA,Energy
309,BAX,Healthcare
310,AEE,Utilities
311,MTB,Financial Services
312,MKC,Consumer Defensive
313,ETR,Utilities
314,WAB,Industrials
315,DOV,Industrials
316,FE,Utilities
317,RJF,Financial Services
318,INVH,Real Estate
319,FLT,Technology
320,CLX,Consumer Defensive
321,TDY,Technology
322,TRGP,Energy
323,DRI,Consumer Cyclical
324,LH,Healthcare
325,HOLX,Healthcare
326,VRSN,Technology
327,MOH,Healthcare
328,LUV,Industrials
329,PPL,Utilities
330,ARE,Real Estate
331,NVR,Consumer Cyclical
332,COO,Healthcare
333,WBA,Healthcare
334,PHM,Consumer Cyclical
335,NDAQ,Financial Services
336,HWM,Industrials
337,RF,Financial Services
338,CNP,Utilities
339,IRM,Real Estate
340,LVS,Consumer Cyclical
341,FITB,Financial Services
342,EXPD,Industrials
343,VTR,Real Estate
344,FSLR,Technology
345,PFG,Financial Services
346,BRO,Financial Services
347,J,Industrials
348,IEX,Industrials
349,BG,Consumer Defensive
350,ATO,Utilities
351,FDS,Financial Services
352,ENPH,Technology
353,MAA,Real Estate
354,CMS,Utilities
355,IFF,Basic Materials
356,BALL,Consumer Cyclical
357,SWKS,Technology
358,CINF,Financial Services
359,NTAP,Technology
360,STLD,Basic Materials
361,UAL,Industrials
362,WAT,Healthcare
363,OMC,Communication Services
364,TER,Technology
365,CCL,Consumer Cyclical
366,JBHT,Industrials
367,MRO,Energy
368,TYL,Technology
369,HBAN,Financial Services
370,K,Consumer Defensive
371,GRMN,Technology
372,CBOE,Financial Services
373,NTRS,Financial Services
374,TSN,Consumer Defensive
375,AKAM,Technology
376,EG,Financial Services
377,ESS,Real Estate
378,EQT,Energy
379,TXT,Industrials
380,EXPE,Consumer Cyclical
381,SJM,Consumer Defensive
382,PTC,Technology
383,DGX,Healthcare
384,AVY,Consumer Cyclical
385,RVTY,Healthcare
386,BBY,Consumer Cyclical
387,CF,Basic Materials
388,CAG,Consumer Defensive
389,EPAM,Technology
390,AMCR,Consumer Cyclical
391,LW,Consumer Defensive
392,PAYC,Technology
393,SNA,Industrials
394,AXON,Industrials
395,POOL,Industrials
396,SYF,Financial Services
397,SWK,Industrials
398,ZBRA,Technology
399,DPZ,Consumer Cyclical
400,PKG,Consumer Cyclical
401,CFG,Financial Services
402,LDOS,Technology
403,VTRS,Healthcare
404,PODD,Healthcare
405,LKQ,Consumer Cyclical
406,MOS,Basic Materials
407,APA,Energy
408,EVRG,Utilities
409,TRMB,Technology
410,MGM,Consumer Cyclical
411,NDSN,Industrials
412,WDC,Technology
413,MAS,Industrials
414,LNT,Utilities
415,IPG,Communication Services
416,MTCH,Communication Services
417,STX,Technology
418,KMX,Consumer Cyclical
419,TECH,Healthcare
420,WRB,Financial Services
421,LYV,Communication Services
422,IP,Consumer Cyclical
423,UDR,Real Estate
424,AES,Utilities
425,CE,Basic Materials
426,INCY,Healthcare
427,L,Financial Services
428,TAP,Consumer Defensive
429,GEN,Technology
430,CPT,Real Estate
431,KIM,Real Estate
432,JKHY,Technology
433,HRL,Consumer Defensive
434,HST,Real Estate
435,FMC,Basic Materials
436,CZR,Consumer Cyclical
437,PEAK,Real Estate
438,CDAY,Technology
439,PNR,Industrials
440,NI,Utilities
441,CHRW,Industrials
442,HSIC,Healthcare
443,CRL,Healthcare
444,REG,Real Estate
445,QRVO,Technology
446,TFX,Healthcare
447,KEY,Financial Services
448,GL,Financial Services
449,EMN,Basic Materials
450,WYNN,Consumer Cyclical
451,ALLE,Industrials
452,AAL,Industrials
453,FFIV,Technology
454,BWA,Consumer Cyclical
455,BXP,Real Estate
456,MKTX,Financial Services
457,ROL,Consumer Cyclical
458,JNPR,Technology
459,PNW,Utilities
460,ETSY,Consumer Cyclical
461,BLDR,Industrials
462,FOXA,Communication Services
463,AOS,Industrials
464,HAS,Consumer Cyclical
465,HII,Industrials
466,NRG,Utilities
467,CPB,Consumer Defensive
468,UHS,Healthcare
469,BIO,Healthcare
470,WRK,Consumer Cyclical
471,RHI,Industrials
472,CTLT,Healthcare
473,XRAY,Healthcare
474,BBWI,Consumer Cyclical
475,NWSA,Communication Services
476,TPR,Consumer Cyclical
477,PARA,Communication Services
478,WHR,Consumer Cyclical
479,BEN,Financial Services
480,AIZ,Financial Services
481,NCLH,Consumer Cyclical
482,GNRC,Industrials
483,FRT,Real Estate
484,IVZ,Financial Services
485,VFC,Consumer Cyclical
486,CMA,Financial Services
487,DVA,Healthcare
488,JBL,Technology
489,HUBB,Industrials
490,ZION,Financial Services
491,UBER,Technology
492,MHK,Consumer Cyclical
493,RL,Consumer Cyclical
494,FOX,Communication Services
495,BX,Financial Services
496,ABNB,Consumer Cyclical
497,NWS,Communication Services
